sector,year,emissions_metric_tons
Resíduos,2012,515021.2044927755
Processos Industriais,2012,446717.375
Energia,2013,11135670.462344622
Mudança de Uso da Terra e Floresta,2013,3197820.054007441
Agropecuária,2013,1869870.26840684
Resíduos,2013,471323.72292116727
Processos Industriais,2013,444908.65625
Energia,2014,12926253.445809782
Mudança de Uso da Terra e Floresta,2014,3231075.164628476
Agropecuária,2014,1992111.9017219404
Resíduos,2014,467198.7486840776
Processos Industriais,2014,453193.40625
Energia,2015,12456607.935948685
Mudança de Uso da Terra e Floresta,2015,2853198.3392169774
Agropecuária,2015,2080446.040306595
Resíduos,2015,467539.7854570487
Processos Industriais,2015,343716.484375
Energia,2016,11570009.986353992
Mudança de Uso da Terra e Floresta,2016,2829236.762539178
Agropecuária,2016,2052002.7923443397
Resíduos,2016,464426.3976910834
Processos Industriais,2016,224866.40234375
Energia,2017,11690105.577740574
Mudança de Uso da Terra e Floresta,2017,2820756.974515229
Agropecuária,2017,1987020.133927094
Resíduos,2017,461747.0161723399
Processos Industriais,2017,162067.90625
Energia,2018,10513101.612825576
Mudança de Uso da Terra e Floresta,2018,3909336.8579678535
Agropecuária,2018,2054345.518616118
Resíduos,2018,500544.8810541309
Processos Industriais,2018,97946.421875
Energia,2019,10205916.098224653
Mudança de Uso da Terra e Floresta,2019,4514771.668860823
Agropecuária,2019,2208140.259473008
Resíduos,2019,535829.4614916863
Processos Industriais,2019,139239.953125
Energia,2020,9446437.318090083
Mudança de Uso da Terra e Floresta,2020,3822820.847686887
Agropecuária,2020,2402957.042718834
Resíduos,2020,530746.6306671454
Processos Industriais,2020,173294.828125
Energia,2021,11673543.39622042
Mudança de Uso da Terra e Floresta,2021,6507198.194459081
Agropecuária,2021,2642605.5195654784
Resíduos,2021,542001.4161046152
Processos Industriais,2021,136736.78125
Energia,2022,8798073.186207246
Mudança de Uso da Terra e Floresta,2022,6528205.682675034
Agropecuária,2022,2594926.5894936672
Resíduos,2022,524832.3483442036
Processos Industriais,2022,101448.4453125
Energia,2023,9137408.25712879
Mudança de Uso da Terra e Floresta,2023,6443692.0
Agropecuária,2023,2712457.600001563
Resíduos,2023,483359.4696270549
Processos Industriais,2023,122101.0859375
